machine,numerator_var,numerator_implementation,denominator_var,denominator_implementation,speedup,label,executed,source_notebook,source_cell,notes
DellG3,t_py_a,,t_py,python_pure,,Speed up of pure Python with respect to Python (with NumPy arrays)  :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,67,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
DellG3,t_py,python_pure,t_np,numpy_pure,20.76360431458669,Speed up of Python NumPy with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,69,
DellG3,t_py,python_pure,t_nb,numba_cpu_serial,131.47907529301648,Speed up of Python Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,71,
DellG3,t_py_a,,t_nb,numba_cpu_serial,,Speed up of Python Numba CPU (serial) with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,73,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
DellG3,t_np,numpy_pure,t_nb,numba_cpu_serial,6.332189407050625,Speed up of Python Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,75,
DellG3,t_py,python_pure,t_np_nb,numpy_numba_cpu_serial,38.45388178859227,Speed up of NumPy Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,77,
DellG3,t_np,numpy_pure,t_np_nb,numpy_numba_cpu_serial,1.8519849061840359,Speed up of NumPy Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,79,
DellG3,t_py,python_pure,t_nb_parallel,numba_cpu_parallel,858.3240096430413,Speed up of Python Numba CPU // with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,81,
DellG3,t_py_a,,t_nb_parallel,numba_cpu_parallel,,Speed up of Python Numba CPU // with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,83,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
DellG3,t_np,numpy_pure,t_np_nb_parallel,numpy_numba_cpu_parallel,2.0864339364688926,Speed up of NumPy Numba CPU // with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,85,
DellG3,t_nb,numba_cpu_serial,t_nb_parallel,numba_cpu_parallel,6.528217571732734,Speed up of Python Numba CPU // with respect to Python Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,87,
DellG3,t_np_nb,numpy_numba_cpu_serial,t_np_nb_parallel,numpy_numba_cpu_parallel,1.1265933807030493,Speed up of NumPy Numba CPU // with respect to NumPy Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,89,
DellG3,t_py,python_pure,t_gpu,numba_cuda_float64,881.616935944373,Speed up of Python Numba GPU 64 bits with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,91,
DellG3,t_py_a,,t_gpu,numba_cuda_float64,,Speed up of Python Numba GPU 64 bits with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,93,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
DellG3,t_np,numpy_pure,t_gpu,numba_cuda_float64,42.459725324520186,Speed up of NumPy Numba GPU 64 bits  with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,95,
DellG3,t_nb,numba_cpu_serial,t_gpu,numba_cuda_float64,6.705378281521882,Speed up of Python Numba GPU 64 bits  with respect to Python Numba CPU (serial) :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,97,
DellG3,t_nb_parallel,numba_cpu_parallel,t_gpu,numba_cuda_float64,1.0271376846501343,Speed up of Python Numba GPU 64 bits with respect to Python Numba CPU // :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_DellG3_v1.6.4.ipynb,99,
GoogleColab,t_py_a,,t_py,python_pure,,Speed up of pure Python with respect to Python (with NumPy arrays)  :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,69,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
GoogleColab,t_py,python_pure,t_np,numpy_pure,25.963677942669595,Speed up of Python NumPy with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,71,
GoogleColab,t_py,python_pure,t_nb,numba_cpu_serial,125.89815538578516,Speed up of Python Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,73,
GoogleColab,t_py_a,,t_nb,numba_cpu_serial,,Speed up of Python Numba CPU (serial) with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,75,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
GoogleColab,t_np,numpy_pure,t_nb,numba_cpu_serial,4.849010824420982,Speed up of Python Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,77,
GoogleColab,t_py,python_pure,t_np_nb,numpy_numba_cpu_serial,43.70466285319292,Speed up of NumPy Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,79,
GoogleColab,t_np,numpy_pure,t_np_nb,numpy_numba_cpu_serial,1.6833001452913259,Speed up of NumPy Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,81,
GoogleColab,t_py,python_pure,t_nb_parallel,numba_cpu_parallel,225.80266257926735,Speed up of Python Numba CPU // with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,83,
GoogleColab,t_py_a,,t_nb_parallel,numba_cpu_parallel,,Speed up of Python Numba CPU // with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,85,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
GoogleColab,t_np,numpy_pure,t_np_nb_parallel,numpy_numba_cpu_parallel,3.247532531404956,Speed up of NumPy Numba CPU // with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,87,
GoogleColab,t_nb,numba_cpu_serial,t_nb_parallel,numba_cpu_parallel,1.793534320557346,Speed up of Python Numba CPU // with respect to Python Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,89,
GoogleColab,t_np_nb,numpy_numba_cpu_serial,t_np_nb_parallel,numpy_numba_cpu_parallel,1.9292652831339898,Speed up of NumPy Numba CPU // with respect to NumPy Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,91,
GoogleColab,t_py,python_pure,t_gpu,numba_cuda_float64,5067.5493662683875,Speed up of Python Numba GPU 64 bits with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,93,
GoogleColab,t_py_a,,t_gpu,numba_cuda_float64,,Speed up of Python Numba GPU 64 bits with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,95,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
GoogleColab,t_np,numpy_pure,t_gpu,numba_cuda_float64,195.17840952495425,Speed up of NumPy Numba GPU 64 bits  with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,97,
GoogleColab,t_nb,numba_cpu_serial,t_gpu,numba_cuda_float64,40.25118041436016,Speed up of Python Numba GPU 64 bits  with respect to Python Numba CPU (serial) :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,99,
GoogleColab,t_nb_parallel,numba_cpu_parallel,t_gpu,numba_cuda_float64,22.4423809196202,Speed up of NumPy Numba GPU 64 bits with respect to Python Numba CPU // :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_GoogleColab_v1.6.4.ipynb,101,
Idapad320,t_py_a,,t_py,python_pure,,Speed up of pure Python with respect to Python (with NumPy arrays)  :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,56,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
Idapad320,t_py,python_pure,t_np,numpy_pure,16.57660504296176,Speed up of Python NumPy with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,58,
Idapad320,t_py,python_pure,t_nb,numba_cpu_serial,129.76670948531296,Speed up of Python Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,60,
Idapad320,t_py_a,,t_nb,numba_cpu_serial,,Speed up of Python Numba CPU (serial) with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,62,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
Idapad320,t_np,numpy_pure,t_nb,numba_cpu_serial,7.828304357194686,Speed up of Python Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,64,
Idapad320,t_py,python_pure,t_np_nb,numpy_numba_cpu_serial,39.83417553068706,Speed up of NumPy Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,66,
Idapad320,t_np,numpy_pure,t_np_nb,numpy_numba_cpu_serial,2.403035810254779,Speed up of NumPy Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,68,
Idapad320,t_py,python_pure,t_nb_parallel,numba_cpu_parallel,322.21439839294663,Speed up of Python Numba CPU // with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,70,
Idapad320,t_py_a,,t_nb_parallel,numba_cpu_parallel,,Speed up of Python Numba CPU // with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,72,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
Idapad320,t_np,numpy_pure,t_np_nb_parallel,numpy_numba_cpu_parallel,2.582105172386834,Speed up of NumPy Numba CPU // with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,74,
Idapad320,t_nb,numba_cpu_serial,t_nb_parallel,numba_cpu_parallel,2.48302819475757,Speed up of Python Numba CPU // with respect to Python Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,76,
Idapad320,t_np_nb,numpy_numba_cpu_serial,t_np_nb_parallel,numpy_numba_cpu_parallel,1.0745179748749019,Speed up of NumPy Numba CPU // with respect to NumPy Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,78,
Idapad320,t_py,python_pure,t_gpu,,,Speed up of Python Numba GPU 64 bits with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,80,erro na execucao: NameError: name 't_gpu' is not defined; variavel 't_gpu' nunca atribuida por um run_nbody ativo neste notebook
Idapad320,t_py_a,,t_gpu,,,Speed up of Python Numba GPU 64 bits with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,82,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook; variavel 't_gpu' nunca atribuida por um run_nbody ativo neste notebook"
Idapad320,t_np,numpy_pure,t_gpu,,,Speed up of NumPy Numba GPU 64 bits  with respect to Python NumPy :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,84,"celula comentada no notebook, nunca executada; variavel 't_gpu' nunca atribuida por um run_nbody ativo neste notebook"
Idapad320,t_nb,numba_cpu_serial,t_gpu,,,Speed up of Python Numba GPU 64 bits  with respect to Python Numba CPU (serial) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,86,"celula comentada no notebook, nunca executada; variavel 't_gpu' nunca atribuida por um run_nbody ativo neste notebook"
Idapad320,t_nb_parallel,numba_cpu_parallel,t_gpu,,,Speed up of NumPy Numba GPU 64 bits with respect to Python Numba CPU // :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_Idapad320_v1.6.4.ipynb,88,"celula comentada no notebook, nunca executada; variavel 't_gpu' nunca atribuida por um run_nbody ativo neste notebook"
Neuromancer,t_py_a,,t_py,python_pure,,Speed up of pure Python with respect to Python (with NumPy arrays)  :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,67,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
Neuromancer,t_py,python_pure,t_np,numpy_pure,22.722010255537267,Speed up of Python NumPy with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,69,
Neuromancer,t_py,python_pure,t_nb,numba_cpu_serial,152.74330449417403,Speed up of Python Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,71,
Neuromancer,t_py_a,,t_nb,numba_cpu_serial,,Speed up of Python Numba CPU (serial) with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,73,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
Neuromancer,t_np,numpy_pure,t_nb,numba_cpu_serial,6.722261929133275,Speed up of Python Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,75,
Neuromancer,t_py,python_pure,t_np_nb,numpy_numba_cpu_serial,41.60568372736662,Speed up of NumPy Numba CPU (serial) with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,77,
Neuromancer,t_np,numpy_pure,t_np_nb,numpy_numba_cpu_serial,1.8310740669271317,Speed up of NumPy Numba CPU (serial) with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,79,
Neuromancer,t_py,python_pure,t_nb_parallel,numba_cpu_parallel,512.1685763417379,Speed up of Python Numba CPU // with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,81,
Neuromancer,t_py_a,,t_nb_parallel,numba_cpu_parallel,,Speed up of Python Numba CPU // with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,83,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
Neuromancer,t_np,numpy_pure,t_np_nb_parallel,numpy_numba_cpu_parallel,3.8554115616816125,Speed up of NumPy Numba CPU // with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,85,
Neuromancer,t_nb,numba_cpu_serial,t_nb_parallel,numba_cpu_parallel,3.353132748030034,Speed up of Python Numba CPU // with respect to Python Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,87,
Neuromancer,t_np_nb,numpy_numba_cpu_serial,t_np_nb_parallel,numpy_numba_cpu_parallel,2.1055464829730672,Speed up of NumPy Numba CPU // with respect to NumPy Numba CPU :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,89,
Neuromancer,t_py,python_pure,t_gpu,numba_cuda_float64,1380.4297455141075,Speed up of Python Numba GPU 64 bits with respect to pure Python :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,91,
Neuromancer,t_py_a,,t_gpu,numba_cuda_float64,,Speed up of Python Numba GPU 64 bits with respect to Python (with NumPy arrays) :,false,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,93,"celula comentada no notebook, nunca executada; variavel 't_py_a' nunca atribuida por um run_nbody ativo neste notebook"
Neuromancer,t_np,numpy_pure,t_gpu,numba_cuda_float64,60.75297607867693,Speed up of NumPy Numba GPU 64 bits  with respect to Python NumPy :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,95,
Neuromancer,t_nb,numba_cpu_serial,t_gpu,numba_cuda_float64,9.03757942179888,Speed up of Python Numba GPU 64 bits  with respect to Python Numba CPU (serial) :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,97,
Neuromancer,t_nb_parallel,numba_cpu_parallel,t_gpu,numba_cuda_float64,2.6952644290949888,Speed up of NumPy Numba GPU 64 bits with respect to Python Numba CPU // :,true,NBody_M1_N32Kcube_Python_x_NumbaCPU_x_NumbaGPU64_Neuromancer_v1.6.4.ipynb,99,
