backend,device,dtype,n_particles,softening,seed,n_repeats,available,unavailable_reason,warmup_time_s,median_time_s,iqr_time_s,q25_time_s,q75_time_s,min_time_s,max_time_s,samples_time_s,max_abs_diff_vs_torch_eager_fp64,hostname,os_platform,cpu_model,cpu_logical_count,torch_num_threads,cuda_available,gpu_name,torch_gpu_runtime_version,python_version,torch_version,triton_version,timestamp_utc
python_pure,cpu,float32,1000,0.05,20190222,15,True,,0.12636840400045912,0.12717787199926534,0.0020646975003728585,0.1266969774997051,0.12876167500007796,0.1251658259998294,0.13140329999987443,0.130977616000564;0.1251658259998294;0.12732605599921953;0.12717787199926534;0.12705972699950507;0.12628944300013245;0.12733117600055266;0.13140329999987443;0.12925756799995725;0.1265143939999689;0.12667526099994575;0.12678515199968388;0.12671869399946445;0.12826578200019867;0.1298764309995022,5.111130555857102e-05,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
python_pure,cpu,float64,1000,0.05,20190222,15,True,,0.12763742999959504,0.12736847599990142,0.0011913670000467391,0.12673701499988965,0.1279283819999364,0.12599476000013965,0.12936141699992731,0.12599476000013965;0.1261315920000925;0.12643269700038218;0.1269628219997685;0.1265112080000108;0.12838996900063648;0.12936141699992731;0.1271186989997659;0.12762702100008028;0.12736847599990142;0.12716048900074384;0.12787907300025836;0.12783711300016876;0.12797769099961442;0.1280918490001568,9.325873406851315e-15,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_eager,cpu,float32,1000,0.05,20190222,50,True,,0.004018042000097921,0.0027711870002349315,0.0007847442502679769,0.0024238217499714665,0.0032085660002394434,0.002266602999952738,0.004024133000712027,0.003219174000150815;0.003946042999814381;0.0033824160000222037;0.0029540879995693103;0.002266602999952738;0.0030790559994784417;0.0030953479999880074;0.0025842099994406453;0.0027827399999296176;0.002295579000019643;0.0023959499994816724;0.0025840600001174607;0.0023032729995975387;0.0027904039998247754;0.004024133000712027;0.0034258590003446443;0.002410057999441051;0.0022979929999564774;0.002922716999819386;0.0024276009999084636;0.002585813999758102;0.003176742000505328;0.0023248649995366577;0.0026383430003988906;0.0025562869996065274;0.002525869000237435;0.002965318999486044;0.0031599909998476505;0.0037575430005745147;0.0027094489996670745;0.00335690700012492;0.0035466399995129905;0.003358259999913571;0.0027822680003737332;0.0024024630001804326;0.003619549000177358;0.003334324000206834;0.0030217670000638464;0.0023971020000317367;0.0024225619999924675;0.0027601060000961297;0.0023707820000709035;0.0028276759994696476;0.002411288999610406;0.002285137999933795;0.002496512999641709;0.0025256779999836;0.0027368820001356653;0.003487637000034738;0.003285409999989497,5.0634468400367894e-05,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_eager,cpu,float64,1000,0.05,20190222,50,True,,0.009117610000430432,0.008743650500036892,0.0006105272500462888,0.008527952249778536,0.009138479499824825,0.008294145999570901,0.010064490000331716,0.009355465000226104;0.009835200999987137;0.009297544000219204;0.00917772499997227;0.008483927999805019;0.008742834000258881;0.008744466999814904;0.008512182999766083;0.008990828000605688;0.008652851000078954;0.008358828999917023;0.00856588499937061;0.008470052000120631;0.009759606999978132;0.00885437700071634;0.008567357999709202;0.00968686800024443;0.009500121000201034;0.009033639000335825;0.009290551000049163;0.008713256999726582;0.008407842999986315;0.008632582999780425;0.010064490000331716;0.009659827000177756;0.008855910000420408;0.008929208999688854;0.009627253999497043;0.009272106000025815;0.008944649000113714;0.008574812000006204;0.008581544999287871;0.008781526999882772;0.00873797399981413;0.008395388999815623;0.00842436400034785;0.008294145999570901;0.008841541999572655;0.008618535999630694;0.008841872000630246;0.009167655000055674;0.008933748000345076;0.009050952999132278;0.008490160000292235;0.008515307999914512;0.008631890999822645;0.008450133999758691;0.008720711000023584;0.008373877999474644;0.00845404099982261,0.0,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_compiled,cpu,float32,1000,0.05,20190222,50,True,,7.716984065000361,0.0014042094999240362,5.121299909660593e-05,0.0013888952503293694,0.0014401082494259754,0.0013624450002680533,0.0017162109998025699,0.0014720839999426971;0.0013887350005461485;0.0013919109997004853;0.0013862499999959255;0.0013905080004406045;0.0013771919993814663;0.0017162109998025699;0.0014496510002572904;0.001409964999766089;0.0014389509997272398;0.0014008680000188178;0.0014036129996384261;0.0013893759996790322;0.0014224389997252729;0.001441866000277514;0.0014544010000463459;0.0014744480004083016;0.0014404939993255539;0.0014147040001262212;0.0014202849997673184;0.0014324579997264664;0.0014201150006556418;0.0014083819996812963;0.0013862599998901715;0.0013700489998882404;0.0013928230000601616;0.0013796680004816153;0.0013753490002272883;0.0013678650002475479;0.0013624450002680533;0.001387111999974877;0.0015338020002673147;0.0013742070004809648;0.0013923520000389544;0.001398813999912818;0.0014546499996868079;0.001400297000145656;0.0013946260005468503;0.0014662329995189793;0.0013766010006293072;0.0014187520000632503;0.0014014090002092416;0.0013983530006953515;0.0014048060002096463;0.0013774839999314281;0.0014559729997927207;0.001624556000024313;0.0014137730004222249;0.001416027000232134;0.0015309370000977651,5.0634468400367894e-05,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_compiled,cpu,float64,1000,0.05,20190222,50,True,,0.38966227600030834,0.0013898774996050633,2.1313000388545333e-05,0.001383374249599001,0.0014046872499875462,0.0013067780000710627,0.0018112030002157553,0.0013936340001237113;0.0013519450003514066;0.0013176490001569618;0.0013067780000710627;0.001337175999651663;0.0013833749999321299;0.00140415399982885;0.001370899999528774;0.0013870210004824912;0.0013899179994041333;0.001516510000328708;0.0014302949994089431;0.0013873019997845404;0.0013888550001865951;0.001417780000338098;0.001407189999554248;0.0014006270002937526;0.0013851579997208319;0.0014029920002940344;0.0013878139998269035;0.0013895969996156055;0.001631950000046345;0.0015301450002880301;0.001427178000085405;0.0014015299993843655;0.0013898369998059934;0.0013900879994253046;0.001404865000040445;0.0013976310001453385;0.0014161979997879826;0.001367644999845652;0.0013717629999518977;0.0013793470006930875;0.0014431390000027022;0.0018112030002157553;0.0013814709991493146;0.0013725839999096934;0.0013526560005630017;0.001368675999401603;0.001388894999763579;0.0013994649998494424;0.0015055579997351742;0.0013914299997850321;0.0013964290001240443;0.0014012589999765623;0.001388944999234809;0.0013889150004615658;0.001383373999487958;0.001409184000294772;0.001388423999742372,9.325873406851315e-15,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_eager,cuda,float32,1000,0.05,20190222,50,True,,0.0756780620004065,0.0004636465000658063,2.5060250891328906e-05,0.00044793374968321586,0.00047299400057454477,0.0004389400000945898,0.0005592389998128056,0.0005592389998128056;0.0004885139996986254;0.0004979320001439191;0.0004937140001857188;0.0004772020001837518;0.00047226300011971034;0.00047610099954908947;0.00048622899976180634;0.0004761000000144122;0.00047620000077586155;0.0004730440005005221;0.00046844600001350045;0.00046797399954812136;0.0004732349998448626;0.00047104999975999817;0.000470560000394471;0.0004728440007966128;0.000467233000563283;0.0004738649995488231;0.000481780999507464;0.00046818499959044857;0.0004663010004151147;0.0004639870003302349;0.0004613720002453192;0.0004689859997597523;0.00046568000016122824;0.0004571839999698568;0.00046330599980137777;0.00044819699996878626;0.0004457729992282111;0.00044784599958802573;0.0004389400000945898;0.0004418050002641394;0.0004492389998631552;0.0004403019993333146;0.00044325700037006754;0.00044254600015847245;0.00045337600022321567;0.0004410640003698063;0.00044366800011630403;0.0004440789998625405;0.0004482670001380029;0.00044784599958802573;0.0004599089998009731;0.0004499610004131682;0.0004487080004764721;0.00044833699939772487;0.0004501710000113235;0.00044698500005324604;0.00044450899986259174,5.095455624060108e-05,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_eager,cuda,float64,1000,0.05,20190222,50,True,,0.0017862849999801256,0.0015565105004498037,1.0344749398427666e-05,0.0015519295002377476,0.0015622742496361752,0.001512210999862873,0.0015829459998712991,0.001512210999862873;0.0015811930006748298;0.0015746700000818237;0.00156167600016488;0.0015665350001654588;0.001566775999890524;0.0015659139999115723;0.001563177999742038;0.0015643100005036104;0.0015593209991493495;0.0015600320002704393;0.0015561250002065208;0.0015701709999120794;0.0015632779995939927;0.0015623769995727343;0.0015592309991916409;0.0015586689996780478;0.0015572869997413363;0.0015625569994881516;0.0015780060002725804;0.001556265000544954;0.0015485100002479157;0.0015525180006079609;0.0015608639996571583;0.0015602930006934912;0.0015496919995712233;0.0015567560003546532;0.0015519070002483204;0.0015551129999948898;0.0015578980001009768;0.001549472000078822;0.0015397029992527678;0.001544923999972525;0.001555304000248725;0.0015560239999103942;0.001551997000206029;0.001549521999550052;0.0015477690003535827;0.0015536000000793138;0.0015829459998712991;0.0015499930004807538;0.001555493000523711;0.0015479300000151852;0.0015613049999956274;0.001552196000375261;0.0015525379994869581;0.0015619659998264979;0.0015506239997193916;0.0015549529998679645;0.001546657000289997,1.7763568394002505e-15,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_compiled,cuda,float32,1000,0.05,20190222,50,True,,0.9326183989996935,0.00010072199984278996,2.0822496935579693e-06,9.99610001599649e-05,0.00010204324985352287,9.204599973600125e-05,0.0002365020000070217,0.0002365020000070217;0.00011500999971758574;0.00010682399988581892;0.00010490000022400636;0.00010345800001232419;0.00010177500007557683;9.204599973600125e-05;0.0001067039993358776;0.00010298699999111705;0.0001023660006467253;0.00010183399990637554;0.0001174850003735628;0.00010128299982170574;0.00010185500013903948;0.00010573200052022003;0.00010155400013900362;0.00010474999999132706;0.00010238600043521728;0.00010138399920833763;0.00010057200051960535;0.00010086299971590051;0.00010072199984278996;0.00010075299996969989;0.0001003420002234634;0.00010064199977932731;0.00010210599975835066;0.00010135400043509435;0.00010082300013891654;9.99610001599649e-05;0.00010058200041385135;0.00010031199963123072;0.00010072199984278996;0.00010042199937743135;9.77159998001298e-05;9.681499977887142e-05;9.986100030801026e-05;0.00010129299971595174;9.990099988499423e-05;9.501100066700019e-05;0.0001001109994831495;9.978100024454761e-05;0.00010003100032918155;0.00010017099975812016;9.960100032913033e-05;9.991100068873493e-05;0.00010007099990616553;9.983100062527228e-05;9.99610001599649e-05;9.982099982153159e-05;9.91099996099365e-05,4.9762463345093266e-05,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
torch_compiled,cuda,float64,1000,0.05,20190222,50,True,,0.7882436620002409,0.0008367650002583105,7.094000238794251e-06,0.0008330420002948813,0.0008401360005336755,0.0008208399995055515,0.0010109730001204298,0.0010109730001204298;0.0009114019994740374;0.0008405370008404134;0.0008405870003116434;0.0008348359997398802;0.0008341749999090098;0.0008316200000990648;0.0008337039998878026;0.0008381229999940842;0.00083357400035311;0.000841478999973333;0.0008405469998251647;0.0008370209998247446;0.0008341250004377798;0.0008308879996548058;0.0008324919999722624;0.0008329820002472843;0.0008296559999507735;0.0008787099995970493;0.0008496339996781899;0.0008434119999947143;0.0008382429996345309;0.0008257890003733337;0.000834585000120569;0.0008309289996759617;0.0008340739996128832;0.0008395049999307957;0.0008410070004174486;0.0008415280008193804;0.0008392750005441485;0.0008365090006918763;0.0008332220004376722;0.0008464879992970964;0.000830316999781644;0.0008240249999289517;0.000834555000437831;0.0008393839998461772;0.0008401560007769149;0.0008399359994655242;0.000837209999190236;0.0008348960000148509;0.0008313890002682456;0.0008208399995055515;0.0008287150003525312;0.0008329530000992236;0.0008394650003538118;0.000838904000374896;0.0008400759998039575;0.0008388240003114333;0.0008347349994437536,3.552713678800501e-15,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
triton,cuda,float32,1000,0.05,20190222,50,True,,36.15680268600045,0.009103963499910606,0.0003728930005308939,0.00890378074950604,0.009276673750036935,0.008433491999312537,0.009648244000345585,0.009258930000214605;0.009166353000182426;0.009122078000473266;0.00873231300010957;0.009648244000345585;0.00891561400021601;0.00901960200008034;0.00924463299998024;0.009279769999920973;0.008765907000451989;0.008732944000257703;0.008943978000388597;0.009379340000123193;0.008604648999607889;0.009366185000544647;0.009232399999746121;0.008954236999670684;0.00912707799943746;0.009256305000235443;0.008670334999806073;0.009552430999974604;0.00874017800015281;0.009030321999489388;0.009288455999922007;0.009241226999620267;0.008781778000411578;0.008616632000666868;0.008906155999284238;0.009278898000047775;0.008433491999312537;0.009304056000473793;0.00906789500004379;0.009333111999694665;0.009072013000150037;0.008902988999579975;0.008878192000338458;0.009428344000298239;0.008727383999939775;0.009385291000398865;0.009270001000004413;0.00939966900023137;0.008950790999733726;0.008932073999858403;0.008987290000732173;0.009620992000236583;0.008628134999526083;0.009213682999870798;0.009164470000541769;0.009210737999637786;0.009085848999347945,5.1431393398804204e-05,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
triton,cuda,float64,1000,0.05,20190222,50,True,,55.78368850199968,0.012765392999881442,0.00041310949950457143,0.01253811650053649,0.01295122600004106,0.012198799999168841,0.01339975599967147,0.0133618240006399;0.012587953000547714;0.012856456999543298;0.01339975599967147;0.012591850999342569;0.012786594000317564;0.012979572999938682;0.012713623999843549;0.0130344180006432;0.012251851999280916;0.012617108999620541;0.013048605000221869;0.012777657000697218;0.01315460699970572;0.013219139999819163;0.012463326000215602;0.012774931999956607;0.012531787000625627;0.0128529300000082;0.013067039999441477;0.01234061200011638;0.012583746000018436;0.012890601999970386;0.012656375000005937;0.012952641000083531;0.012302998999984993;0.012585399000272446;0.012807363999854715;0.01256832699982624;0.012860273999649507;0.013120122000145784;0.01240986300035729;0.012762678000399319;0.012514414000179386;0.012768107999363565;0.013049045000116166;0.012356772000202909;0.012557105000269075;0.012946980999913649;0.012624633999621437;0.012960466000549786;0.012198799999168841;0.012500826999712444;0.012804848999621754;0.012438277999535785;0.012771525000061956;0.012990071999411157;0.012297027000386151;0.012596010000379465;0.012383051999677264,3.552713678800501e-15,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:08:03.571526+00:00
