backend,device,dtype,n_particles,softening,seed,n_repeats,available,unavailable_reason,warmup_time_s,median_time_s,iqr_time_s,q25_time_s,q75_time_s,min_time_s,max_time_s,samples_time_s,max_abs_diff_vs_torch_eager_fp64,disk_cache_state,hostname,os_platform,cpu_model,cpu_logical_count,torch_num_threads,cuda_available,gpu_name,torch_gpu_runtime_version,python_version,torch_version,triton_version,timestamp_utc
python_pure,cpu,float32,512,0.05,20190222,15,True,,0.03328789599981974,0.032988151999234105,0.0001344519996564486,0.03291371550039912,0.03304816750005557,0.03252574900034233,0.03395427100076631,0.03253682000104163;0.03291703700051585;0.03303050399881613;0.03301404199919489;0.03304163499888091;0.033137206999526825;0.032988151999234105;0.033338432000164175;0.03305470000123023;0.03292145600062213;0.03252574900034233;0.03295156300009694;0.03287124000053154;0.032910394000282395;0.03395427100076631,5.001890839961831e-06,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
python_pure,cpu,float64,512,0.05,20190222,15,True,,0.03295907699975942,0.03385550100028922,0.00029150199861760484,0.03364294950097246,0.03393445149959007,0.033292764999714564,0.034079199000188964,0.03369328100052371;0.03391475399985211;0.03385550100028922;0.0335135370005446;0.033292764999714564;0.03340036000008695;0.0338171080002212;0.03380971300066449;0.03395414899932803;0.03386016999866115;0.03404918200067186;0.034079199000188964;0.0340196549987013;0.03390177999972366;0.033592618001421215,2.6645352591003757e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cpu,float32,512,0.05,20190222,50,True,,0.000804176999736228,0.0004964540003129514,3.871649914799491e-05,0.0004637415004253853,0.0005024579995733802,0.0004357430007075891,0.0007352459997491678,0.00047090000043681357;0.00045020099969406147;0.00044672399963019416;0.0004543590002867859;0.0004404219998832559;0.0004997649994038511;0.0004377370005386183;0.0004357430007075891;0.0004486979996727314;0.00045873700037191156;0.0004630250004993286;0.00046293499872263055;0.00046589100020355545;0.0004600690008373931;0.0004595379996317206;0.0004668120000133058;0.0004999659995519323;0.00046001900045666844;0.00046835499961161986;0.00046791500062681735;0.000470349999886821;0.0005030519987485604;0.0004779129994858522;0.0004839749999518972;0.00048460600010002963;0.0004948859987052856;0.0004957880009897053;0.0004971199996361975;0.000503502000356093;0.0005246130003797589;0.0005005170005460968;0.0005203949986025691;0.0005030619995523011;0.000507910999658634;0.0005009779997635633;0.000502590999531094;0.000500035999721149;0.0004990339984942693;0.0005248830002528848;0.0007352459997491678;0.0006593499983864604;0.0005073300017102156;0.0005003860005672323;0.0004936839995934861;0.0005006570008845301;0.0004978220003977185;0.0005020589997002389;0.0005880339995201211;0.000513781998961349;0.0005014079997636145,5.003688451576949e-06,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cpu,float64,512,0.05,20190222,50,True,,0.0012649790005525574,0.0009225435005646432,4.426674877322512e-05,0.0009055462501237344,0.0009498129988969595,0.0008824869983072858,0.0012695969999185763,0.0009988589990825858;0.0009809549992496613;0.00101584199910576;0.0009884589999273885;0.0009559480004099896;0.0012695969999185763;0.0009710260001156712;0.00092897600006836;0.0009283439994760556;0.0009292659997299779;0.0009599250006431248;0.0009505869984423043;0.0009474910002609249;0.0009507770009804517;0.0009530219995212974;0.0009763070011103991;0.0009428529992874246;0.0009595840001566103;0.0009077349986910122;0.00091012000120827;0.0009049899999808986;0.0009122640003624838;0.0008875469993654406;0.0009467100007896079;0.0009145780004473636;0.0009148490007646615;0.0009230140003637644;0.0009400069993716897;0.0009457380001549609;0.0009469710003031651;0.0009368609989905963;0.0009161219986708602;0.0009103800002776552;0.000901273000636138;0.0009130060007009888;0.0008970249982667156;0.000898647998837987;0.000889090000782744;0.0008982370000012452;0.0009079960000235587;0.0009039380001922837;0.0009084760004043346;0.0008939090002968442;0.0008824869983072858;0.0008949610000854591;0.0008869960001902655;0.0008847019998938777;0.0009072150005522417;0.000922073000765522;0.0009445859996048966,0.0,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_compiled,cpu,float32,512,0.05,20190222,50,True,,7.7248360449993925,0.0006770695008526673,9.612999747332651e-06,0.0006719272510053997,0.0006815402507527324,0.0005664630007231608,0.0007346349993895274,0.0007346349993895274;0.000701912000295124;0.000681262001307914;0.0006771650005248375;0.0006799000002501998;0.0006755909998901188;0.0006840080004621996;0.0006754209989594528;0.0006740690005244687;0.0006777449998480733;0.0006762930006516399;0.0006780259991501225;0.0006818330002715811;0.0006796100005885819;0.0006797900005039992;0.0006773650002287468;0.00068824499976472;0.0006861809997644741;0.000680541001202073;0.0006840980004199082;0.000680389999615727;0.000676974001180497;0.0006816330005676718;0.0006819130012445385;0.0006769640003767563;0.0006863629987492459;0.0006805310003983323;0.0006717950000165729;0.0006725849998474587;0.0006726760002493393;0.0006724859995301813;0.0006687479999527568;0.000670741999783786;0.000669790999381803;0.0006703609997202875;0.0006717139985994436;0.0006682169987470843;0.0006773850000172388;0.0006721449990436668;0.0006720840010530083;0.000674229000651394;0.0006715140007145237;0.00066896899988933;0.0006718750009895302;0.000682084000800387;0.0007006189989624545;0.0007108489990059752;0.0006549019999511074;0.0005664630007231608;0.0005697590004274389,5.003688451576949e-06,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_compiled,cpu,float64,512,0.05,20190222,50,True,,0.3977665540005546,0.0003685650008264929,1.411674975315691e-05,0.00036083000122744124,0.00037494675098059815,0.0003513020001264522,0.0004167669994785683,0.0004167669994785683;0.00036478699985309504;0.0003621220002969494;0.00037193100069998764;0.0003620930001488887;0.00036075899879506323;0.000353576000634348;0.0003519829988363199;0.0003638460002548527;0.0003531239999574609;0.00035136199949192815;0.0003633050000644289;0.0003528750003169989;0.0003521529997669859;0.00036094999995839316;0.0003513020001264522;0.00035661199945025146;0.00035587000093073584;0.0003557600011845352;0.00036235200059309136;0.00036079000165045727;0.00036042900137545075;0.00036625999928219244;0.00036863500099570956;0.0003633150008681696;0.0003679830006149132;0.0003667410001071403;0.0003699869994306937;0.0003688749984576134;0.00036849500065727625;0.00038046699955884833;0.0003699869994306937;0.000370106999980635;0.0003759379997063661;0.0003706480001710588;0.0003833030004898319;0.0003737050010386156;0.0003940740007237764;0.000391708999814;0.0003749670013348805;0.0003741349992196774;0.0003867289997288026;0.000380477000362589;0.0003798159996222239;0.0003747869996004738;0.0003845250012091128;0.0003765799992834218;0.0003748859999177512;0.00037825300023541786;0.0003737639999599196,2.6645352591003757e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cuda,float32,512,0.05,20190222,50,True,,0.07946816699950432,0.00021046700021543074,1.1717000234057195e-05,0.00020603149960152223,0.00021774849983557942,0.00020235699957993347,0.0002725810008996632,0.0002725810008996632;0.00021011100034229457;0.00022777499907533638;0.0002312319993507117;0.00021082300008856691;0.0002086589993268717;0.0002114039998559747;0.0002206819990533404;0.00021599300089292228;0.0002177559999836376;0.00020609400053217541;0.00022097200053394772;0.00021366900000430178;0.00020242699974915013;0.0002228760004072683;0.00020475100063777063;0.00021010199998272583;0.000202848001208622;0.00020940099966537673;0.00022376699962478597;0.00020981099987693597;0.00020580299860739615;0.00020841799960180651;0.00022059199909563176;0.000214880999919842;0.00022188399998412933;0.00020591300017258618;0.00022037099915905856;0.00021331799871404655;0.00020608399972843472;0.00021131399989826605;0.00021121400095580611;0.00021973000002617482;0.0002085090000036871;0.00020246799977030605;0.00020308800048951525;0.00021834699873579666;0.0002177259993914049;0.0002099309986078879;0.00020601399955921806;0.00020235699957993347;0.00020688499898824375;0.0002159630003006896;0.00020367899924167432;0.00020427999879757408;0.00020414999926288147;0.00021334799930627923;0.00021735600057581905;0.00020832799964409787;0.00020372000108181965,4.944083806801558e-06,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_eager,cuda,float64,512,0.05,20190222,50,True,,0.0006111679995228769,0.00039674850086157676,1.4803000340180006e-05,0.0003902509997715242,0.0004050540001117042,0.00037964500006637536,0.00045562100058305077,0.00040852100028132554;0.0004288500003895024;0.0004280180000932887;0.00040867099960451014;0.0004033309996884782;0.00039758999992045574;0.00041489300019748043;0.0003985010007454548;0.00039415399987774435;0.0004034609992231708;0.00038089900044724345;0.0003881720003846567;0.00045562100058305077;0.0003938730005756952;0.0004321969990996877;0.00039161899985629134;0.0003802070004894631;0.0003845250012091128;0.00039557600030093454;0.0003807580014836276;0.0003901759992004372;0.00039191900032164995;0.000387379999665427;0.00039573600042785984;0.00039773000025888905;0.0004279280001355801;0.00040579599954071455;0.00041014399903360754;0.00039686900163360406;0.00039357199966616463;0.00039687900061835535;0.0004088219993718667;0.00037964500006637536;0.00039662800008954946;0.0003902459993696539;0.00038026699985493906;0.00039634799941268284;0.0003907869995600777;0.0003874710000673076;0.00041109599987976253;0.00039498500154877547;0.00040178800009016413;0.00039026600097713526;0.0003838840002572397;0.00040558500040788203;0.00039771999945514835;0.00040104700019583106;0.0003995239985670196;0.0003823410006589256;0.00040090699985739775,1.7763568394002505e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_compiled,cuda,float32,512,0.05,20190222,50,True,,0.8973803170010797,5.7414500588492956e-05,1.6404997040808666e-06,5.688400005965377e-05,5.852449976373464e-05,5.5495998822152615e-05,0.00013962599950900767,0.00013962599950900767;7.127699973352719e-05;6.17380010226043e-05;6.101600047259126e-05;6.04859997110907e-05;5.977500040899031e-05;5.943399992247578e-05;5.960400085314177e-05;5.924299875914585e-05;5.75399990339065e-05;5.853199945704546e-05;5.7470000683679245e-05;5.791100011265371e-05;5.711999983759597e-05;5.725000119127799e-05;5.7790999562712386e-05;5.783000051451381e-05;5.850200068380218e-05;5.735900049330667e-05;5.6737999329925515e-05;5.720899935113266e-05;5.774099918198772e-05;5.8182000429951586e-05;7.541400009358767e-05;5.7108998589683324e-05;5.767999937233981e-05;5.724900074710604e-05;5.671899998560548e-05;5.689899990102276e-05;5.725899973185733e-05;5.689899990102276e-05;5.766100002801977e-05;5.6879000112530775e-05;5.6908998885774054e-05;6.20280006842222e-05;5.7670000387588516e-05;5.679800051439088e-05;5.685900032403879e-05;5.8691999583970755e-05;5.840099947818089e-05;5.661799877998419e-05;5.634800072584767e-05;5.708899880119134e-05;5.701899863197468e-05;5.618799877993297e-05;5.5915999837452546e-05;5.5836999308667146e-05;5.6687998949200846e-05;5.5495998822152615e-05;5.6168000810430385e-05,4.944083806801558e-06,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
torch_compiled,cuda,float64,512,0.05,20190222,50,True,,0.7081316229996446,0.0002877154993257136,2.3342495296674315e-06,0.0002870190000976436,0.000289353249627311,0.0002669400000741007,0.0004077400008100085,0.0004077400008100085;0.0003086699998675613;0.0002931399994849926;0.0002746249992924277;0.0002901640000345651;0.0002899840001191478;0.0002896840014727786;0.00030123600117804017;0.0002983600006700726;0.00029706799978157505;0.00028937299975950737;0.00029057599931547884;0.00028929399923072197;0.00027126899840368424;0.00028804999965359457;0.0002897239992307732;0.00028738899891322944;0.00028702800045721233;0.0002879309995478252;0.0002885209996748017;0.0002879700004996266;0.00028818099963245913;0.00030507299925375264;0.0002887419996113749;0.00028802099950553384;0.00028830100018240046;0.0002878499999496853;0.0002870190000976436;0.00028732000100717414;0.0002669400000741007;0.00028721899980155285;0.00028267000016057864;0.00028734899933624547;0.0002872099994419841;0.00028705899967462756;0.0002870190000976436;0.0002874189995054621;0.0002869889995054109;0.0002874389992939541;0.0002710680000745924;0.00028628700056287926;0.00028653800109168515;0.00028783099878637586;0.0002865170008590212;0.00028759999986505136;0.00028799099891330115;0.0002871590004360769;0.00028690899853245355;0.0002860370004782453;0.0002864070011128206,1.7763568394002505e-15,cleared_before_run,fedora,Linux-7.1.5-201.fc44.x86_64-x86_64-with-glibc2.43,AMD Ryzen 5 9600X 6-Core Processor,12,6,True,AMD Radeon Graphics,hip 6.4.43484-123eb5128,3.12.13,2.9.1+rocm6.4,3.5.1,2026-08-03T16:30:08.752046+00:00
